id,Q1,Q1distribution_guess1,Q1distribution_guess2,Q1distribution_guess3,Q1distribution_guess4,Q1distribution_guess5,Q2,Q2distribution_guess1,Q2distribution_guess2,Q2distribution_guess3,Q2distribution_guess4,Q3,Q3distribution_guess1,Q3distribution_guess2,Q3distribution_guess3,Q3distribution_guess4,Q3distribution_guess5,Q3distribution_guess6,Q3distribution_guess7,Q3distribution_guess8,Q4,Q4distribution_guess1,Q4distribution_guess2,Q4distribution_guess3,Q4distribution_guess4,Q4distribution_guess5,Q5,Q5distribution_guess1,Q5distribution_guess2,Q5distribution_guess3,Q5distribution_guess4,Q5distribution_guess5
31,1,70,10,10,0,10,1,75,20,5,0,7,10,10,10,10,0,0,55,5,2,40,50,10,0,0,2,40,50,10,0,0
32,1,25,50,20,5,0,3,10,20,40,30,7,10,10,5,10,20,20,25,0,4,10,30,30,20,10,4,10,30,30,20,10
34,2,10,30,40,15,5,3,10,25,35,30,1,15,15,20,10,10,10,20,0,2,15,30,10,30,15,2,15,30,10,30,15
35,2,0,50,40,5,5,3,0,50,40,10,7,,,,,,,,,4,,,,,,4,,,,,
37,2,5,65,25,5,0,3,0,35,55,10,7,5,5,5,5,10,0,70,0,4,10,25,10,35,20,4,15,40,10,25,10
44,2,15,35,35,10,5,2,20,30,30,20,7,10,10,10,10,15,15,30,0,4,20,20,20,20,20,2,15,20,30,20,15
46,2,15,35,30,5,15,3,20,30,30,20,1,25,5,10,5,10,10,20,15,4,35,15,15,20,15,2,15,20,15,20,30
52,2,10,44,35,10,1,3,5,25,35,35,6,15,12,10,2,16,9,34,2,1,11,32,12,24,21,1,12,33,14,28,13
53,3,0,10,80,10,0,3,0,5,80,15,7,45,0,0,0,5,0,50,0,1,20,50,20,10,0,1,60,25,10,5,0
60,2,10,20,40,25,5,3,0,10,50,40,1,15,15,10,10,10,10,20,10,2,30,30,0,20,20,2,30,30,0,20,20
63,2,20,43,30,6,1,3,0,20,60,20,7,15,15,15,5,5,3,40,2,2,30,15,15,30,10,2,30,15,15,10,30
64,2,5,30,50,15,0,2,,,,,7,0,0,0,0,10,10,80,0,1,70,30,0,0,0,2,20,50,20,10,0
68,3,0,40,30,20,10,3,0,30,40,30,1,30,10,20,5,15,10,10,0,4,5,30,30,20,15,4,5,30,20,30,15
70,2,5,25,55,10,5,2,15,35,35,15,7,10,5,10,5,5,5,50,10,4,15,25,25,20,15,3,15,25,25,20,15
72,2,0,20,60,10,10,2,0,90,10,0,7,10,10,20,5,15,15,25,0,1,20,50,0,25,5,1,50,20,0,25,5
