id,Q1,Q1distribution_guess1,Q1distribution_guess2,Q1distribution_guess3,Q1distribution_guess4,Q2,Q2distribution_guess1,Q2distribution_guess2,Q2distribution_guess3,Q2distribution_guess4,Q2distribution_guess5,Q2distribution_guess6,Q2distribution_guess7,Q2distribution_guess8,Q2distribution_guess9,Q2distribution_guess10,Q3,Q3distribution_guess1,Q3distribution_guess2,Q3distribution_guess3,Q3distribution_guess4,Q3distribution_guess5,Q4,Q4distribution_guess1,Q4distribution_guess2,Q4distribution_guess3,Q4distribution_guess4,Q4distribution_guess5,Q4distribution_guess6,Q4distribution_guess7,Q5,Q5distribution_guess1,Q5distribution_guess2,Q5distribution_guess3,Q5distribution_guess4,Q5distribution_guess5
31,3,5,15,75,5,1,69,3,3,3,3,5,0,2,10,2,5,1,3,6,10,80,5,2,2,5,25,56,10,0,1,80,10,5,4,1
32,2,0,85,15,0,1,40,10,10,3,10,5,10,10,2,0,5,0,0,2,8,90,1,30,5,20,5,20,20,0,1,10,60,25,5,0
33,3,5,35,60,0,5,20,10,20,3,20,3,3,1,20,0,4,0,10,40,30,20,3,10,0,40,10,20,20,0,2,10,45,35,10,0
34,2,5,45,35,15,5,5,10,10,10,15,10,5,15,10,10,4,5,10,25,45,15,6,10,10,15,10,25,25,5,2,15,30,30,20,5
37,2,5,70,25,0,1,35,10,10,0,25,5,5,5,5,0,5,0,0,0,10,90,5,5,0,25,15,50,5,0,1,50,35,15,0,0
44,2,0,45,55,0,2,11,12,11,11,11,11,11,11,11,0,5,0,0,10,15,75,6,10,0,15,15,30,30,0,1,90,10,0,0,0
46,2,5,25,55,15,1,15,10,5,5,5,15,10,15,5,15,5,15,5,10,10,60,5,5,5,5,5,50,15,15,1,80,10,5,5,0
52,3,,,,,3,,,,,,,,,,,4,,,,,,2,,,,,,,,2,,,,,
53,2,0,90,10,0,1,30,10,20,0,20,0,10,0,10,0,5,0,0,0,0,100,5,5,10,10,20,35,20,0,1,90,10,0,0,0
60,3,5,35,60,0,1,40,0,15,0,40,0,0,0,5,0,5,0,0,10,30,60,5,15,5,10,10,30,30,0,2,10,30,30,20,10
63,2,10,20,65,5,8,25,10,10,1,10,10,1,25,5,3,5,0,0,5,10,85,5,25,5,20,10,25,12,3,1,40,29,18,13,0
68,3,0,60,39,1,5,15,15,15,0,30,5,5,10,5,0,5,0,0,10,30,60,6,10,5,5,5,60,15,0,1,60,40,0,0,0
70,3,5,45,40,10,5,19,5,12,1,23,5,5,10,10,10,1,5,10,20,30,35,5,15,5,5,20,35,20,0,1,75,25,0,0,0
72,2,5,55,40,0,1,20,10,20,5,10,10,5,10,10,0,5,0,0,0,40,60,1,20,10,5,25,20,20,0,2,10,30,50,5,5
73,2,10,70,15,5,6,10,10,10,10,10,10,10,10,10,10,5,5,5,10,25,55,4,20,5,12,16,22,20,5,2,40,30,20,8,2
76,3,5,15,75,5,10,0,10,10,5,5,15,0,10,0,45,2,5,25,50,15,5,2,0,40,25,20,5,5,5,1,85,10,4,1,0
84,2,5,65,30,0,1,30,5,20,5,10,10,5,10,5,0,5,0,5,20,25,50,5,10,0,20,20,30,20,0,1,70,20,10,0,0
94,2,25,75,0,0,5,15,10,20,0,30,10,5,10,0,0,4,0,0,10,60,30,2,0,50,0,10,20,20,0,3,0,25,50,25,0
104,3,0,30,60,10,1,40,10,20,3,10,3,5,4,5,0,5,0,0,0,5,95,5,4,1,10,10,50,25,0,1,100,0,0,0,0
105,2,10,60,25,5,2,10,10,10,5,10,5,5,5,10,30,5,5,10,20,15,50,5,20,5,10,20,25,10,10,4,15,20,20,20,25
110,3,2,15,78,5,5,25,5,13,2,30,2,5,8,5,5,5,0,1,3,10,86,5,4,2,15,20,35,22,2,1,20,35,30,10,5
114,2,5,60,35,0,2,30,40,30,0,0,0,0,0,0,0,4,5,10,40,45,0,5,15,5,20,30,30,0,0,2,30,60,10,0,0
119,2,2,53,45,0,1,30,12,17,0,15,5,6,5,10,0,5,0,0,3,12,85,2,25,30,5,3,31,3,3,2,25,50,20,5,0
134,3,0,40,60,0,3,20,20,20,0,10,0,0,10,0,20,5,0,0,10,50,40,5,0,0,20,15,50,15,0,4,0,20,40,30,10
144,2,2,25,73,0,1,50,5,5,5,5,5,5,5,5,10,5,0,0,10,30,60,5,5,5,25,5,30,30,0,1,75,20,5,0,0
145,3,10,60,30,0,10,20,9,15,2,10,13,8,12,10,1,2,1,11,16,25,47,3,7,2,18,5,40,28,0,1,35,30,25,10,0
146,2,2,14,80,4,5,29,10,8,4,22,5,5,10,6,1,5,1,2,5,42,50,5,20,2,24,9,20,20,5,2,25,35,25,10,5
160,2,20,50,30,0,8,7,7,7,7,10,3,3,46,5,5,5,0,0,0,5,95,6,10,15,0,15,25,35,0,1,65,35,0,0,0
162,2,0,80,15,5,,,,,,,,,,,,5,0,0,5,10,85,,,,,,,,,2,50,40,10,0,0
164,3,0,5,95,0,1,17,14,12,4,11,6,11,12,13,0,5,3,7,15,35,40,6,12,0,5,18,30,35,0,3,5,28,34,28,5
172,3,10,30,50,10,5,15,0,15,15,30,5,0,10,10,0,5,0,10,10,20,60,4,10,0,10,30,30,20,0,1,70,20,10,0,0
174,3,8,50,40,2,1,50,0,0,5,25,0,0,0,15,5,5,0,0,0,25,75,6,0,0,30,5,40,25,0,1,80,10,5,0,5
175,2,0,80,20,0,3,10,30,30,0,30,0,0,0,0,0,4,0,0,30,60,10,3,5,5,40,30,10,10,0,2,10,50,30,10,0
176,2,,,,,5,,,,,,,,,,,4,,,,,,6,,,,,,,,2,,,,,
180,1,15,75,8,2,1,10,5,10,20,10,5,5,25,5,5,5,15,15,30,25,15,6,10,15,15,10,25,20,5,3,50,20,5,15,10
184,2,20,55,23,2,3,13,10,15,10,15,10,5,10,10,2,5,2,2,6,20,70,5,14,5,15,25,30,10,1,2,20,20,25,20,15
186,2,18,40,40,2,1,25,5,20,5,15,10,5,5,10,0,3,5,20,30,30,15,5,13,5,2,25,25,25,5,2,5,40,30,20,5
192,2,10,40,48,2,3,20,10,15,5,10,5,5,10,20,0,5,5,10,15,25,45,5,0,5,5,10,40,40,0,2,30,35,15,15,5
195,3,3,10,80,7,1,30,30,10,2,5,10,5,5,3,0,4,10,5,10,50,25,5,14,5,8,20,30,20,3,2,30,40,20,6,4
197,3,5,25,70,0,5,15,15,15,5,20,5,5,10,10,0,4,0,0,30,70,0,5,5,15,5,20,35,20,0,2,30,65,5,0,0
202,2,30,48,20,2,8,10,5,15,0,15,20,0,20,15,0,5,0,0,5,0,95,5,0,20,0,20,60,0,0,1,20,20,30,10,20
210,2,10,70,20,0,5,9,9,9,15,20,9,9,11,9,0,5,0,0,0,10,90,5,20,5,5,10,40,20,0,1,50,30,20,0,0
218,3,10,30,55,5,10,10,5,10,5,10,5,5,10,10,30,5,2,1,2,5,90,3,9,15,20,15,20,20,1,2,20,30,5,25,20
221,3,10,35,50,5,5,10,15,20,5,20,5,10,5,8,2,5,1,1,3,10,85,5,18,20,5,15,20,20,2,2,20,35,10,20,15
235,2,20,40,35,5,1,2,15,15,5,15,0,18,15,15,0,5,0,10,10,60,20,4,20,0,20,40,10,10,0,1,45,30,15,5,5
245,2,10,40,50,0,1,45,10,15,0,5,5,10,5,5,0,5,0,0,10,30,60,2,40,40,0,10,10,0,0,3,5,20,50,20,5
