id,Q1,Q1distribution_guess1,Q1distribution_guess2,Q1distribution_guess3,Q1distribution_guess4,Q1distribution_guess5,Q2,Q2distribution_guess1,Q2distribution_guess2,Q3,Q3distribution_guess1,Q3distribution_guess2,Q3distribution_guess3,Q3distribution_guess4,Q3distribution_guess5,Q4,Q4distribution_guess1,Q4distribution_guess2,Q4distribution_guess3,Q4distribution_guess4,Q4distribution_guess5,Q5,Q5distribution_guess1,Q5distribution_guess2,Q5distribution_guess3,Q5distribution_guess4,Q5distribution_guess5,Q6,Q6distribution_guess1,Q6distribution_guess2,Q6distribution_guess3,Q6distribution_guess4,Q6distribution_guess5,Q6distribution_guess6,Q6distribution_guess7,Q6distribution_guess8,Q6distribution_guess9,Q6distribution_guess10
31,5,0,0,5,20,75,2,10,90,2,10,50,30,10,0,,10,65,15,10,0,5,0,5,35,20,40,6,5,5,5,0,25,30,30,0,0,0
32,5,0,5,25,60,10,2,25,75,3,10,40,30,17,3,1,40,40,10,7,3,5,3,5,17,25,50,7,15,15,7,12,8,18,15,5,5,0
35,5,0,0,0,80,20,2,0,100,5,0,0,50,40,10,1,30,40,30,0,0,5,0,0,3,90,7,2,0,50,0,0,5,0,35,10,0,0
37,5,0,0,0,10,90,2,50,50,2,20,50,20,10,0,1,90,10,0,0,0,5,0,0,0,0,100,7,5,15,5,5,20,20,25,5,0,0
44,3,0,10,80,10,0,2,15,85,1,20,60,10,5,5,1,80,10,10,0,0,5,0,0,5,10,85,2,10,35,5,5,5,5,25,0,10,0
52,1,,,,,,2,,,1,,,,,,4,,,,,,5,,,,,,2,,,,,,,,,,
60,5,0,0,10,40,50,2,50,50,3,5,20,50,20,5,1,40,40,20,0,0,5,0,0,10,20,70,2,10,20,0,10,18,10,20,2,10,0
63,1,42,35,18,3,2,2,50,50,3,20,10,25,35,10,1,93,2,2,2,1,5,1,1,2,11,85,2,15,10,2,2,17,20,20,3,9,2
64,1,,,,,,2,,,4,,,,,,1,,,,,,5,,,,,,2,,,,,,,,,,
68,3,10,20,40,20,10,2,30,70,4,0,10,10,50,30,1,100,0,0,0,0,5,0,0,0,10,90,2,10,20,0,0,0,40,30,0,0,0
70,3,0,5,30,45,20,2,25,75,3,15,25,30,25,5,1,45,35,15,5,0,5,0,5,10,35,50,6,10,15,5,5,15,15,15,5,15,0
76,1,25,50,15,10,0,2,25,75,1,25,50,15,8,2,3,5,25,50,18,2,2,15,35,30,15,5,5,2,20,3,20,20,10,5,5,5,10
84,5,10,15,40,25,10,2,25,75,4,10,20,30,30,10,1,30,50,10,10,0,5,0,10,15,40,35,6,5,10,0,5,20,40,10,10,0,0
94,4,,,,,,2,,,3,,,,,,1,,,,,,5,0,0,0,0,100,7,0,20,0,0,20,10,30,20,0,0
104,3,5,15,60,15,5,2,20,80,3,2,10,60,25,3,1,90,10,0,0,0,5,0,0,0,3,97,7,5,10,0,0,30,20,25,5,5,0
105,5,5,10,15,60,10,2,25,75,5,5,10,50,25,10,1,60,15,10,10,5,5,45,25,15,10,5,9,10,10,10,10,10,10,10,10,5,15
