id,Q1,Q1distribution_guess1,Q1distribution_guess2,Q1distribution_guess3,Q1distribution_guess4,Q1distribution_guess5,Q2,Q2distribution_guess1,Q2distribution_guess2,Q2distribution_guess3,Q2distribution_guess4,Q2distribution_guess5,Q3,Q3distribution_guess1,Q3distribution_guess2,Q3distribution_guess3,Q3distribution_guess4,Q3distribution_guess5,Q4,Q4distribution_guess1,Q4distribution_guess2,Q4distribution_guess3,Q4distribution_guess4,Q4distribution_guess5,Q5,Q5distribution_guess1,Q5distribution_guess2,Q5distribution_guess3,Q5distribution_guess4,Q5distribution_guess5,Q6,Q6distribution_guess1,Q6distribution_guess2,Q6distribution_guess3,Q6distribution_guess4,Q6distribution_guess5
31,4,5,25,40,25,5,2,25,40,20,10,5,1,60,25,12,2,1,1,40,30,20,10,0,1,40,30,20,10,0,2,20,40,30,10,0
32,5,5,15,15,30,35,3,5,25,40,25,5,4,10,10,20,30,30,3,10,20,30,20,20,2,5,35,15,35,10,1,40,35,20,5,0
34,3,30,20,10,15,25,2,25,30,25,15,5,2,25,30,25,15,5,2,20,35,25,15,5,1,30,35,20,10,5,1,30,35,20,10,5
37,3,5,30,20,30,15,2,20,60,10,5,5,1,60,20,5,10,5,2,15,40,10,25,10,1,30,40,15,10,5,1,75,10,5,5,5
44,2,15,40,25,15,5,2,20,35,15,15,15,4,5,10,30,50,5,1,50,20,10,10,10,1,50,30,10,5,5,1,50,30,10,5,5
52,2,3,5,1,6,85,4,15,4,6,70,5,2,5,8,4,7,76,4,12,24,6,50,8,1,56,18,6,7,13,4,78,12,2,5,3
60,5,5,15,0,20,60,3,20,20,20,20,20,5,5,5,10,10,70,2,10,40,30,10,10,1,70,20,10,0,0,2,20,40,20,10,10
63,3,12,30,16,30,12,5,5,10,20,30,35,5,5,10,20,30,35,2,15,25,25,25,10,1,60,20,10,5,5,3,30,15,30,22,3
64,4,5,10,10,50,25,2,10,50,20,15,5,4,5,10,20,40,25,5,25,60,10,5,0,2,20,60,10,5,5,1,30,50,10,5,5
72,1,50,30,20,0,0,2,20,40,20,20,0,2,20,40,20,10,10,2,10,30,40,10,10,1,80,15,5,0,0,2,30,40,20,10,0
